node1,node2,num_of_carts
7a2428849e8c9e1cfac00494791ca876,744846f62c7ba12b43c59c5ff57782a7, 2
e15cee02291017f6f12b4115ffb417e6,1d6d7be70107889e3193819aca4dc1dc, 2
c80124276571cd4bef53cf35d9b36c5c,6b5d792112275a0262356e64e098025f, 2
967ec52b0c55fe9ccde964df30cef64e,6548c9763cc930450fb8b73c3353812f, 2
d16c0ea701551e609316c77d5c533591,477aa9a85d7002688bae2cbbd93198f8, 2
02623b0e4e6b951aefb23575de1f3886,ec2d43cc59763ec91694573b31f1c29a, 2
18486698933fbb64af6c0a255f7dd64c,d2085f7e0f9533605386960fc7e987ec, 2
432357855585cf634fc9923523ce5e4a,e2f1ccf86759df28dd1e9f2e0e3242d4, 2
814db92f0cda8c71fa27f4b022cea56f,e5eaae7d68dab0ac80b3a5bb888f33f0, 2
a93ad122024312ca432da7f7b32474b4,306b0c58328826c0564cbc520787d508, 2
ac1fcaf7402bfbf019afdcce1a784ad4,b09cd20111b8c27705b617c3b5af7608, 2
315c6373ff469f7b7f60bbb36c319f7b,6dc18860905adba3a2d55fc1298f1701, 2
eaf84e31d1e891449aa5cf7130e75fc6,bdeca320bdf54d3cdbb982d737526dc5, 2
174f6dbd30e54c690ac97b27a3a793fa,7efc9c66bf68e3026c7846b0ec3e8682, 2
315c6373ff469f7b7f60bbb36c319f7b,20f9d67f27a7593da8c9e8981d4f81c8, 2
11fb16e86df4d50cd2c289ede0b70f42,c695342500b74ff952db47b541726de1, 2
57518979d2090ce36061fdb544c8515a,1f14955ab3f179a666e101d5984b1319, 2
2eb6e8f39feaf75fc5163f774d38f0f1,d3060c543b1b88a647cc284ed7a9dd4a, 2
19040720293c3389f764e7b18f9395ac,1b2066a33aee5851ee3e44b10b36b3c8, 2
4b15c9a92a5637d71143577edd7718b1,8213da1c8eae3aa3fa5c70d87fc1581c, 2
ac5e164e2eda939ffa46593f90077f9a,f39288f58793ce5e6985b3f7832af88c, 3
fe1ba35c47a4b599f34ce8ad2aa2c42b,812b558694cd8e22f35f9d1bcfb549b5, 2
972d4aba7eb9ba03a5b7950751f11f60,cae8c962ad47ff05a508e6fec4146e1a, 2
b5a47689050b1900fd74aa6b431579a7,38f894aa22356ddb9e98478fbc016083, 2
bc7496ccc90a64c022a56021c65c9cda,6aaa03bfd8582d76c23b11ef0e80f85d, 2
9483476ac5b7549f7df5ff12fb6fb5d9,72172e982e8b92155069e4201c92c0bb, 2
d199462b8361a3e047e64595bce5b6ea,fc2d17e60bdd3349a25f3ca6a802a91e, 3
158102fe543dbaeb84d87811bfe06d0d,414c53fa9c5cc4a0390682aeb2e25ec1, 3
47fafa6908e75ae62b8a36a9eb3b9234,61fd556e5319f0e1dfed3ecb8d3bb778, 2
e6e3140cdd035e915d6d4a9eae2ccead,15b5d9fcf84c060e00b0883def7d10e6, 2
3014e35fd70fce29095ced5cdc89f4ce,7fbbe412c783af7237d40b9145aa5a8b, 2
1eaf224c19e07b6e50bf0119eea1dd26,0fa81e7123fd0ebe03adbbe99d912827, 3
c1e4bd7e1144f99ac576aedc324a5cb3,3aaf169c291f3a9e57cae0428e82e545, 2
2647221a6a477afe2d0268b378f1fdcd,b09790edda54333116f9cf1decc580a1, 2
e83e5f5ff7ef69f7a09c848795df56a7,1558f7b0a51472d4c2af9153a2255beb, 2
c784a651cf319526cc7cf854f83cb941,2ccd049c8e7ea210e079a1aa8ad92477, 5
9ce90721c582bede1c152150a883b801,70431405f38dc4a0ee25fbfba20dbd16, 2
2e0b9273624db778d82fd3b18becec24,8fa5bb1e4de7a63ee554487c2f2ee076, 2
c7aa6e6a39fc78bf4285e9ec06823bd4,7230cb7a5b93cff3d0869183495f053f, 2
5d686bbd116b2de2ea1a4e1056501240,b2fbf8beb178c391c49d80fa8c4435b6, 2
e8b81f90e760cf36a89ecf3b3bf6cf05,fd925ce72399e23cbc5d75e224fc2b57, 2
a88124e0b1d42ca7b0813a78ff630437,4a5c3967bfd3629fe07ef4d0cc8c3818, 2
24297ae137968498e50c2f283a4f3d9c,7e07898c0f30ec34cc5d255bcc4b3747, 2
e95fb3a80ca294f39de925b6428f3a32,8c7fe240bfde64b6a20eec6fdb986b1b, 2
a22f707cfd269773138c3bf3a43f6180,4fe644d766c7566dbc46fb851363cb3b, 2
908071e6f99433fe356fcfaa41fd1d1e,51930b8934b8991edff523246feb9ae7, 2
a2ee607f03a8f581d1625b68fbaa6166,608396ec032711eb443596cb8cdce050, 2
af680b3406a3179e4a4c2051c5384cfd,5bd7e57735a44e529bf066fee83a9c60, 2
